BOROUGH,Code,Area,Popdensity,Population,Populationper,DEM,DistancetoLondon,EconomicallyInactivePercent,IMDAveragescore,IMD.Average.rank,Income.Average.rank,Income.Scale,Employment.Average.rank,Employment.Scale,Education..Skills.and.Training.Average.rank,Health.Deprivation.and.Disability.Average.rank,Crime...Average.rank,Barriers.to.Housing.and.Services...Average.rank,Living.Environment...Average.rank,year.x,CasesDateChange,CasesDateRollingRate,CasesDateRollingSum,year.y,new1stmean,new2ndmean,new3rdmean
Kensington and Chelsea,E09000020,12.38 ,13.77 ,143400.00 ,0.02 ,15.71 ,7.08 ,34.20 ,21.53 ,17177.50 ,13962.50 ,18502.00 ,12503.40 ,8196.50 ,5295.10 ,6985.20 ,20751.80 ,28557.00 ,28690.60 ,2021.00 ,32.00 ,303.89 ,459.77 ,2021.00 ,305.15 ,278.92 ,NA
Kingston upon Thames,E09000021,37.26 ,4.32 ,168000.00 ,0.02 ,32.83 ,19.51 ,17.00 ,11.38 ,9412.30 ,11391.60 ,13293.00 ,8638.40 ,5718.80 ,7002.70 ,5470.80 ,11848.60 ,20641.30 ,20231.10 ,2021.00 ,45.45 ,339.48 ,589.19 ,2021.00 ,346.25 ,324.89 ,9321.72 
Lambeth,E09000022,27.25 ,12.29 ,317600.00 ,0.04 ,31.08 ,6.97 ,15.30 ,25.42 ,21351.40 ,20983.20 ,48928.00 ,17311.70 ,21179.00 ,10677.90 ,18598.80 ,23226.80 ,24286.80 ,28937.80 ,2021.00 ,83.91 ,402.05 ,1264.89 ,2021.00 ,636.91 ,593.37 ,13877.70 
Lewisham,E09000023,35.32 ,8.24 ,300600.00 ,0.03 ,28.88 ,8.90 ,21.00 ,26.66 ,21959.30 ,22217.20 ,48333.00 ,19342.00 ,20378.00 ,13445.40 ,17636.20 ,21786.70 ,27807.60 ,26197.00 ,2021.00 ,83.21 ,356.26 ,1059.57 ,2021.00 ,538.41 ,496.12 ,NA
Merton,E09000024,37.62 ,5.33 ,215200.00 ,0.02 ,26.06 ,13.71 ,17.40 ,14.65 ,12224.60 ,14087.00 ,20586.00 ,10933.50 ,8321.80 ,9047.20 ,9260.80 ,15738.50 ,17907.60 ,23193.20 ,2021.00 ,54.15 ,366.30 ,739.62 ,2021.00 ,422.73 ,394.81 ,NA
Newham,E09000025,38.58 ,10.04 ,351100.00 ,0.04 ,5.21 ,9.13 ,23.20 ,29.58 ,24138.70 ,23168.00 ,56769.00 ,17778.80 ,20831.80 ,17121.40 ,16231.90 ,22834.50 ,32336.60 ,24540.70 ,2021.00 ,76.53 ,336.95 ,1174.77 ,2021.00 ,638.16 ,568.13 ,NA
Redbridge,E09000026,56.44 ,6.02 ,310300.00 ,0.04 ,24.35 ,14.11 ,28.50 ,17.20 ,15082.60 ,17685.50 ,35863.00 ,13372.10 ,13017.30 ,11277.80 ,7444.10 ,20354.90 ,23376.20 ,20635.30 ,2021.00 ,61.55 ,348.25 ,1034.09 ,2021.00 ,561.06 ,519.37 ,NA
Richmond upon Thames,E09000027,58.76 ,3.60 ,195200.00 ,0.02 ,15.77 ,17.23 ,21.70 ,9.43 ,7159.20 ,8767.30 ,12371.00 ,7627.30 ,5816.00 ,3528.70 ,3290.60 ,15404.30 ,12828.80 ,21705.80 ,2021.00 ,40.25 ,345.93 ,658.43 ,2021.00 ,409.37 ,387.33 ,11978.43 
Southwark,E09000028,29.91 ,11.27 ,307700.00 ,0.04 ,24.15 ,4.65 ,18.40 ,25.81 ,21247.40 ,21355.00 ,49900.00 ,17890.90 ,20959.50 ,11263.60 ,18240.10 ,22487.70 ,26853.80 ,26080.00 ,2021.00 ,81.13 ,362.55 ,1129.25 ,2021.00 ,609.70 ,561.85 ,NA
Sutton,E09000029,43.85 ,4.40 ,209600.00 ,0.02 ,63.90 ,17.95 ,17.60 ,13.99 ,11415.30 ,13312.00 ,18870.00 ,12008.20 ,8299.30 ,11318.20 ,9551.50 ,14074.40 ,18566.70 ,17857.30 ,2021.00 ,59.60 ,378.06 ,764.92 ,2021.00 ,408.27 ,382.47 ,NA
Tower Hamlets,E09000030,21.58 ,16.02 ,310300.00 ,0.04 ,10.60 ,4.01 ,22.90 ,27.91 ,22507.10 ,23902.90 ,56191.00 ,18064.20 ,20889.50 ,15428.00 ,19333.30 ,22835.70 ,25818.10 ,24554.10 ,2021.00 ,57.45 ,339.76 ,1111.30 ,2021.00 ,622.68 ,561.51 ,NA
Waltham Forest,E09000031,38.81 ,8.21 ,278400.00 ,0.03 ,28.11 ,10.44 ,18.70 ,25.21 ,21186.60 ,21174.60 ,41052.00 ,17533.20 ,16108.00 ,16218.90 ,14437.30 ,21961.70 ,28669.30 ,25529.80 ,2021.00 ,65.64 ,350.41 ,951.58 ,2021.00 ,486.91 ,450.08 ,NA
Wandsworth,E09000032,35.22 ,10.39 ,327500.00 ,0.04 ,28.64 ,9.52 ,15.10 ,16.61 ,14312.20 ,15134.70 ,33856.00 ,11027.80 ,14180.00 ,6838.00 ,11755.80 ,17975.90 ,22221.20 ,24522.80 ,2021.00 ,76.98 ,387.54 ,1255.00 ,2021.00 ,675.80 ,637.07 ,15166.12 
Westminster,E09000033,22.03 ,12.10 ,204300.00 ,0.02 ,24.40 ,4.72 ,22.90 ,20.34 ,16573.80 ,16667.50 ,32018.00 ,14096.20 ,14187.50 ,8630.10 ,9103.60 ,17774.90 ,19435.90 ,27971.70 ,2021.00 ,51.72 ,265.84 ,698.00 ,2021.00 ,451.95 ,409.13 ,9425.67 
